
(my-rdkit-env-lotus) C:\Users\Simon\Desktop\versadb_tk-main\NMRshift>"C:\Program Files (x86)\Common Files\Oracle\Java\javapath\java.exe" -Xmx1g -classpath predictorc.jar;nmrshiftdb2/library/cdk-interfaces.jar;nmrshiftdb2/library/cdk-io.jar;nmrshiftdb2/library/cdk-core.jar;nmrshiftdb2/library/cdk-data.jar;nmrshiftdb2/library/cdk-standard.jar;nmrshiftdb2/library/cdk-sdg.jar;nmrshiftdb2/library/cdk-valencycheck.jar;nmrshiftdb2/library/vecmath1.2-1.14.jar;nmrshiftdb2/library/jgrapht.jar;nmrshiftdb2/library/antlr-2.7.2.jar;nmrshiftdb2/library/cdk-atomtype.jar;nmrshiftdb2/library/cdk-ioformats.jar;nmrshiftdb2/library/cdk-legacy.jar;nmrshiftdb2/library/guava-17.0.jar;nmrshiftdb2/library/cdk-smiles.jar;nmrshiftdb2/library/beam-core-0.9.2.jar;nmrshiftdb2/library/beam-func-0.9.2.jar;. Demo "cfmid_input_2D.sdf" "4" "3d" 
Duration: 7544
0 0 114.944534
0 1 142.33333
0 2 132.19693
0 3 131.74397
0 4 42.3
0 5 31.4
0 6 19.45
0 7 19.45
0 8 26.425802
0 9 23.691183
1 0 115.5
1 1 139.0
1 2 145.9
1 3 112.9
1 4 30.8
1 5 26.1
1 6 124.4
1 7 131.0
1 8 17.45
1 9 25.325
2 0 23.6
2 1 131.5
2 2 119.6
2 3 21.5
2 4 17.6
2 5 19.4
2 6 25.5
2 7 17.2
2 8 21.25
2 9 21.25
3 0 108.708824
3 1 150.00278
3 2 21.008333
3 3 41.23
3 4 30.824444
3 5 120.77611
3 6 133.55
3 7 22.962727
3 8 30.806667
3 9 28.063889
4 0 23.0
4 1 131.15715
4 2 119.1
4 3 27.742857
4 4 140.65715
4 5 34.74286
4 6 21.4
4 7 21.4
4 8 116.3
4 9 31.842857
5 0 101.675
5 1 165.81334
5 2 44.2
5 3 27.796251
5 4 27.796251
5 5 50.566944
5 6 47.86905
5 7 33.691284
5 8 27.123959
5 9 27.123959
5 10 39.7
5 11 19.3
5 12 39.9093
5 13 40.050766
5 14 20.190197
6 0 105.86
6 1 152.34
6 2 23.55
6 3 23.55
6 4 40.37
6 5 26.93
6 6 51.72
6 7 40.63
6 8 23.95
6 9 23.95
7 0 22.386667
7 1 144.42
7 2 116.153336
7 3 31.433332
7 4 40.98
7 5 31.526667
7 6 47.28
7 7 38.18667
7 8 23.916666
7 9 23.916666
8 0 17.9
8 1 139.2
8 2 125.8
8 3 23.3
8 4 39.7
8 5 133.2
8 6 15.15
8 7 125.0
8 8 42.0
8 9 37.4
8 10 27.1
8 11 27.1
8 12 141.0
8 13 127.7
8 14 40.4
9 0 105.5
9 1 156.9
9 2 42.699787
9 3 27.796251
9 4 27.796251
9 5 50.566944
9 6 47.86905
9 7 33.691284
9 8 26.85
9 9 26.85
9 10 39.7
9 11 19.3
9 12 34.658546
9 13 40.050766
9 14 20.444374
10 0 23.4
10 1 134.1
10 2 120.9
10 3 29.6
10 4 127.8
10 5 121.6
10 6 19.7
10 7 20.2
10 8 26.8
10 9 31.6
11 0 111.8
11 1 153.9
11 2 34.1
11 3 27.9
11 4 123.9
11 5 134.8
11 6 16.1
11 7 39.3
11 8 28.7
11 9 52.9
11 10 47.6
11 11 39.6
11 12 32.5
11 13 26.1
11 14 26.1
12 0 111.8
12 1 153.9
12 2 34.1
12 3 27.9
12 4 123.9
12 5 134.8
12 6 16.1
12 7 39.3
12 8 28.7
12 9 52.9
12 10 47.6
12 11 39.6
12 12 32.5
12 13 26.1
12 14 26.1
13 0 98.96
13 1 166.44
13 2 46.88
13 3 28.85
13 4 23.78
13 5 48.04
13 6 37.41
13 7 41.83
13 8 27.625
13 9 27.625
14 0 23.166666
14 1 132.9
14 2 120.7
14 3 25.9
14 4 44.5
14 5 71.9
14 6 26.9
14 7 26.9
14 9 23.6
14 10 30.9
15 0 23.3
15 1 133.7
15 2 118.7
15 3 34.5
15 4 71.7
15 6 36.9
15 7 16.95
15 8 16.95
15 9 31.1
15 10 27.2
16 0 20.3
16 1 46.3
16 2 20.3
16 3 45.0
16 4 27.2
16 5 33.9
16 6 48.9
16 7 11.3
16 8 79.9
16 10 40.3
17 0 21.1
17 1 170.8
17 4 79.7
17 5 36.9
17 6 45.2
17 7 26.828571
17 8 28.2
17 9 48.8
17 10 19.8
17 11 47.9
17 12 18.251429
17 13 18.251429
18 0 11.3
18 1 48.9
18 2 33.9
18 3 27.2
18 4 45.0
18 5 40.3
18 6 79.9
18 8 46.3
18 9 20.3
18 10 20.3
19 0 111.15714
19 1 145.4
19 2 73.3
19 3 27.9
19 5 41.0
19 6 20.0
19 7 58.5
19 8 149.2
19 9 109.4
19 10 31.6
19 11 24.23
19 12 45.7
19 13 33.48
19 14 28.092777
19 15 28.092777
19 16 42.18889
19 17 19.31
19 18 36.7
19 19 38.1
19 20 22.4
20 0 112.9
20 1 146.8
20 2 129.7
20 3 138.0
20 4 52.5
20 5 31.8
20 6 20.6
20 7 20.6
20 8 28.1
20 9 36.6
20 10 134.7
20 11 15.545455
20 12 125.31064
20 13 23.833334
20 14 30.8
21 0 21.01
21 1 135.0
21 2 129.14285
21 3 126.34286
21 4 145.55714
21 5 33.9
21 6 23.848276
21 7 23.848276
21 8 126.34286
21 9 129.14285
22 0 110.9
22 1 145.4
22 2 73.3
22 3 27.9
22 5 41.0
22 6 20.0
22 7 58.5
22 8 149.2
22 9 109.4
22 10 31.6
22 11 24.23
22 12 45.7
22 13 33.48
22 14 28.092777
22 15 28.092777
22 16 42.18889
22 17 19.31
22 18 36.7
22 19 38.1
22 20 22.4
23 0 112.9
23 1 146.8
23 2 129.7
23 3 138.0
23 4 52.5
23 5 31.8
23 6 20.6
23 7 20.6
23 8 28.1
23 9 36.6
23 10 134.7
23 11 16.131708
23 12 125.31064
23 13 24.95
23 14 30.8
24 0 19.9
24 1 32.8
24 2 19.9
24 3 34.1
24 4 33.747665
24 5 35.589962
24 6 74.73014
24 7 23.533333
24 9 26.3
24 10 20.08154
25 0 111.15714
25 1 145.4
25 2 73.3
25 3 27.9
25 5 41.0
25 6 20.0
25 7 56.536366
25 8 147.28421
25 9 109.08891
25 10 40.5
25 11 72.31108
25 13 170.22725
25 14 21.106153
25 16 61.1
25 17 33.228573
25 18 27.389286
25 19 27.389286
25 20 41.2
25 21 19.3
25 22 39.24
25 23 37.42875
25 24 14.942
26 0 21.4
26 1 34.96
26 2 21.4
26 3 144.98
26 4 133.76776
26 5 139.14166
26 6 140.39278
26 7 29.753206
26 8 24.8
26 9 38.67143
26 10 19.620869
26 11 35.514286
26 12 17.9
26 13 36.9
26 14 47.2
26 15 16.1
26 16 185.2
26 19 46.072727
26 20 19.117144
26 21 26.6
27 0 108.5
27 1 148.5
27 2 35.9
27 3 23.5
27 4 40.8
27 5 35.2
27 6 20.441935
27 7 28.05
27 8 29.753206
27 9 143.89621
27 10 35.125805
27 11 21.976343
27 12 21.976343
27 13 127.83291
27 14 54.31818
28 0 19.8195
28 1 139.18947
28 2 116.14445
28 3 30.08
28 4 45.589657
28 5 52.5
28 6 50.5
28 7 41.863
28 8 18.721
28 9 41.9
28 10 21.8
28 11 39.7
28 12 32.9
28 13 28.15
28 14 28.15
29 0 111.15714
29 1 145.4
29 2 73.3
29 3 27.9
29 5 41.0
29 6 20.0
29 7 56.536366
29 8 148.3947
29 9 108.763794
29 10 37.23721
29 11 69.645905
29 13 61.4
29 14 33.228573
29 15 27.389286
29 16 27.389286
29 17 41.2
29 18 18.916986
29 19 39.34138
29 20 37.216797
29 21 16.592112
30 0 21.4
30 1 34.96
30 2 21.4
30 3 144.98
30 4 133.76776
30 5 139.14166
30 6 147.28572
30 7 29.753206
30 8 24.8
30 9 38.786957
30 10 19.620869
30 11 36.242104
30 12 18.6
30 13 36.9
30 14 47.2
30 15 16.1
30 16 185.2
30 19 46.072727
30 20 20.05
30 21 26.6
31 0 109.825
31 1 150.375
31 2 37.025
31 3 21.9
31 4 36.433334
31 5 20.733334
31 6 51.633335
31 7 136.2
31 8 121.7
31 9 24.593933
31 10 44.48182
31 11 46.25
31 12 16.95
31 13 184.1
31 16 37.5
31 17 18.35
31 18 38.65
31 19 35.003704
31 20 13.911111
31 21 46.3
32 0 27.123959
32 1 33.691284
32 2 27.123959
32 3 39.7
32 4 21.7
32 5 39.9093
32 6 44.020775
32 7 20.166666
32 8 50.566944
32 9 59.03866
32 10 19.55
32 11 24.017933
32 12 63.3
32 13 33.75859
32 14 25.29683
33 0 26.85
33 1 33.691284
33 2 26.85
33 3 39.7
33 4 21.8
33 5 34.658546
33 6 44.020775
33 7 19.761538
33 8 50.566944
33 9 33.366
33 10 19.55
33 11 28.028736
33 12 63.3
33 13 34.1
33 14 21.78675
34 0 111.15714
34 1 145.4
34 2 73.3
34 3 27.9
34 5 41.0
34 6 20.0
34 7 56.536366
34 8 147.28421
34 9 109.08891
34 10 39.45
34 11 68.91932
34 13 61.4
34 14 33.228573
34 15 27.389286
34 16 27.389286
34 17 41.2
34 18 19.3
34 19 39.24
34 20 37.42875
34 21 14.942
35 0 22.386667
35 1 144.42
35 2 116.153336
35 3 31.433332
35 4 40.98
35 5 31.526667
35 6 47.28
35 7 38.18667
35 8 23.916666
35 9 23.916666
36 0 22.386667
36 1 144.42
36 2 116.153336
36 3 31.433332
36 4 40.98
36 5 31.526667
36 6 47.28
36 7 38.18667
36 8 23.916666
36 9 23.916666
37 0 12.3
37 1 23.0
37 2 46.05
37 3 26.4
37 4 34.0
37 5 36.3
37 6 18.8
37 7 56.1
37 8 28.3
37 9 24.3
37 10 56.857143
37 11 32.145714
37 12 31.982857
37 13 121.42857
37 14 140.8421
37 15 42.321053
37 16 71.50636
37 18 31.642105
37 19 37.321053
37 20 36.5
