	chemicalTaxonomyNPclassifierPathway	chemicalTaxonomyNPclassifierSuperclass	chemicalTaxonomyNPclassifierClass
0	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids
1	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids
2	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids
3	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids
4	Fatty acids	Fatty Acids and Conjugates	Hydroperoxy fatty acids
5	Fatty acids	Fatty Acids and Conjugates	Epoxy fatty acids
6	Fatty acids	Fatty Acids and Conjugates	Methoxy fatty acids
7	Fatty acids	Fatty Acids and Conjugates	Amino fatty acids
8	Fatty acids	Fatty Acids and Conjugates	Nitro fatty acids
9	Fatty acids	Fatty Acids and Conjugates	Thia fatty acids
10	Fatty acids	Fatty Acids and Conjugates	Carbocyclic fatty acids
11	Fatty acids	Fatty Acids and Conjugates	Heterocyclic fatty acids
12	Fatty acids	Fatty Acids and Conjugates	Mycolic acids
13	Fatty acids	Fatty Acids and Conjugates	Dicarboxylic acids
14	Fatty acids	Octadecanoids	12-oxophytodienoic acid metabolites
15	Fatty acids	Octadecanoids	Jasmonic acids
16	Fatty acids	Octadecanoids	Phytoprostanes
17	Fatty acids	Octadecanoids	Phytofurans
18	Fatty acids	Octadecanoids	Other Octadecanoids
19	Fatty acids	Eicosanoids	Prostaglandins
20	Fatty acids	Eicosanoids	Leukotrienes
21	Fatty acids	Eicosanoids	Thromboxanes
22	Fatty acids	Eicosanoids	Lipoxins
23	Fatty acids	Eicosanoids	Hydroxy-hydroperoxyeicosatrienoic acids
24	Fatty acids	Eicosanoids	Hydroxy-hydroperoxyeicosatetraenoic acids
25	Fatty acids	Eicosanoids	Hydroxy-hydroperoxyeicosapentaenoic acids
26	Fatty acids	Eicosanoids	Epoxyeicosatrienoic acids
27	Fatty acids	Eicosanoids	Hepoxilins
28	Fatty acids	Eicosanoids	Levuglandins
29	Fatty acids	Eicosanoids	Isoprostanes
30	Fatty acids	Eicosanoids	Isofurans
31	Fatty acids	Eicosanoids	"Eicosa-1,2-dioxolanes"
32	Fatty acids	Eicosanoids	Resolvin Es
33	Fatty acids	Eicosanoids	Clavulones
34	Fatty acids	Eicosanoids	Other Eicosanoids
35	Fatty acids	Docosanoids	Neuroprostanes
36	Fatty acids	Docosanoids	Neurofurans
37	Fatty acids	Docosanoids	"Docosa-1,2-dioxolanes"
38	Fatty acids	Docosanoids	Resolvin Ds
39	Fatty acids	Docosanoids	Maresins
40	Fatty acids	Docosanoids	Other Docosanoids
41	Fatty acids	Fatty acyls	Fatty alcohols
42	Fatty acids	Fatty acyls	Fatty aldehydes
43	Fatty acids	Fatty esters	Wax monoesters
44	Fatty acids	Fatty esters	Wax diesters
